sentence,label,label_word
"không biết thầy nào dạy chính thức , mà học thường nghỉ không thông báo trước để sinh viên đứng chờ sắp hết tiết rồi tự về nhiều lần .",0,Negative
cần có sự tương tác giữa giảng viên và sinh viên nhiều hơn .,0,Negative
giảng viên thân thiện nhiệt tình cởi mở .,2,Positive
"giáo viên có mời các công ty về trình bày , giúp sinh viên cập nhật kiến thức thực tiễn .",2,Positive
coi lại thái độ giảng viên thực hành .,0,Negative
"giảng viên nhiệt tình , giải nhiều bài tập .",2,Positive
bài giảng của thầy rất nhiệt tình .,2,Positive
"môn học chưa thực tiễn , chưa thu hút sinh viên .",0,Negative
dạy hơi nhanh !,0,Negative
ít làm bài tập .,0,Negative
"giảng bài kém thu hút , vị trí đứng giảng không hợp lý , ôn tập cuối kỳ còn chưa tập trung vào vấn đề .",0,Negative
"giảng viên nhiệt tình , bài giảng thu hút .",2,Positive
"nhờ thầy và giảng viên lý thuyết , em đã hiểu rõ về môn này rất nhiều !",2,Positive
môn này khá trừu tượng nên mong thầy có nhiều liên tưởng tới thực tiễn hơn để chúng em có thể hiểu .,0,Negative
cần thêm nhiều tài liệu cho sinh viên .,0,Negative
bài tập trên lớp .,1,Neutral
tăng số tiết dạy lên để sinh viên có nhiều cơ hội hỏi đáp thắc mắc về môn học .,0,Negative
thầy nhiệt tình dễ hiểu .,2,Positive
thực hành và lý thuyết nên dạy song song .,0,Negative
giảng viên dạy nhanh .,0,Negative
bài tập trên lớp nên được giới thiệu ngay từ đầu tiết học để học sinh không tốn thời gian đọc đề cũng như có thể suy nghĩ cách giải cùng lúc với việc nghe giảng .,0,Negative
giảng viên cho bài tập hay .,2,Positive
cập nhật bài tập mới .,0,Negative
"lên lớp ai làm việc người ấy , thầy không có giảng gì thêm .",0,Negative
"tận tâm , nhiệt tình , quan tâm đến sinh viên .",2,Positive
phản hồi giải đáp thắc mắc cho sinh viên .,2,Positive
dạy quá nhanh .,0,Negative
mong ban thiết bị sớm khắc phục ạ !,0,Negative
môn này cần làm đề tài để áp dụng lý thuyết vào thực tiễn mà trên lớp chỉ học một đống lý thuyết và hiếm ai nhớ đa số khá buồn ngủ khi lên lớp .,0,Negative
"giảng viên nên đổi mới phương pháp giảng dạy , tránh thô cứng , không hấp dẫn sinh viên .",0,Negative
"nhiệt tình , tạo cách chủ động cho học sinh tiếp cận với môn học và tham gia các chương trình phong trào liên quan để nâng cao kỹ năng .",2,Positive
"cô dạy rất tận tình , dễ hiểu .",2,Positive
không đáp ứng được nhu cầu của sinh viên .,0,Negative
thầy rất nhiệt tình với chúng em và điều này làm em rất hài lòng .,2,Positive
cách giảng dạy của thầy rất hay và có phần dễ hiễu .,2,Positive
"nhiệt tình , dễ thương .",2,Positive
không hướng dẫn đồ án .,0,Negative
em xin đề nghị nhà trường nên bổ sung tài liệu về môn học và cập nhật nội dung .,0,Negative
"chép bài rất nhiều , lãng phí thời gian nghe giảng .",0,Negative
"em không học thầy wzjwz178 kỳ này , giáo viên thực hành có 2 người nên có lẽ daa nhầm .",0,Negative
đề thi môn dài sinh viên làm không đủ thời gian .,0,Negative
cho làm nhiều bài test .,0,Negative
theo em thì nên thi phòng máy nào có visual 2013 trở lên .,0,Negative
cần thêm nhiều tài liệu cho môn học .,0,Negative
thầy giảng dạy tốt .,2,Positive
mong thầy có thể hướng dẫn cách cụ thể nhất cho những bài khó .,0,Negative
thầy cần cho bài tập và hướng dẫn nhiều hơn .,0,Negative
"giáo viên lên lớp đúng giờ , giảng bài sôi động .",2,Positive
em thấy thầy chỉ giảng cho có .,0,Negative
cần xác định rõ mục đích môn học và cho sinh viên đề cương chi tiết môn học trước khi bắt đầu .,0,Negative
"thầy nói chuyện với sinh viên rất tự nhiên , chia sẻ kinh nghiệm thực tế .",2,Positive
dạy theo sát chương trình .,2,Positive
cung cấp thêm trang thiết bị phục vụ nhu cầu môn học .,0,Negative
đề nghị nâng cấp phòng lab khoa mạng .,0,Negative
"thầy giảng hay và tâm huyết , bài giảng có tính thực tiễn cao .",2,Positive
đi dạy đúng giờ .,2,Positive
"thầy cung cấp nhiều kiến thức mới , thầy dạy tận tâm và nhiệt tình !",2,Positive
có tăng thêm nhiều ví dụ để minh họa cho lý thuyết vì có nhiều phần lý thuyết rất trừu tượng .,2,Positive
các yêu cầu về đồ án môn học nên đươc đưa ra chính xác trước khi sinh viên bắt đầu thực hiện chia nhóm và làm đồ án .,0,Negative
"dạy dễ hiểu dễ tiếp thu , tập trung vài kiến thức trọng tâm .",2,Positive
"dạy chưa được kỹ lắm , điểm nên thoáng hơn .",0,Negative
chưa chuẩn bị kỹ bài giảng để có thể trả lời các thắc mắc của sinh viên trên lớp .,0,Negative
cô khá tận tâm cho học sinh .,2,Positive
"cần cải cách lại nội dung các bài thực hành , một số kiến nội dung trong bài thực hành đã trở nên lỗi thời .",0,Negative
giảng viên có khả năng truyền đạt kiến thức tốt .,2,Positive
cho làm nhiều bài tập .,0,Negative
nghiên cứu khoa học .,1,Neutral
"giáo viên dạy rất tận tâm , nhiệt tình .",2,Positive
thầy cô hướng dẫn đồ án hệ thống thông tin cần có thêm một vài buổi gặp mặt với sinh viên và đưa ra lịch cố định trên trường để sinh viên thắc mắc có thể lên hỏi trực tiếp !,0,Negative
chỉ thông báo trên lớp sẽ khó tránh sai sót .,0,Negative
cô viết ở góc bảng gần chổ bụt giảng khiến nhiều khi khó quan sát được ạ .,0,Negative
đề nghị lắp thêm quạt .,0,Negative
dạy kỹ .,2,Positive
bài tập cần đa dạng hơn .,0,Negative
nói rất nhỏ .,0,Negative
có lúc làm bài sai giáo viên nói làm hơi tự ái .,0,Negative
không sửa các bài tập thực hành .,0,Negative
em chưa hiểu rõ cách thức chấm điểm bài kiểm tra thực hành .,0,Negative
làm bài tập nhiều mặc dù không hiểu lắm .,0,Negative
thi thoảng nghỉ học không thông báo trên daa .,0,Negative
"thầy dạy dễ hiểu , tiết học dễ hiểu , sôi nổi .",2,Positive
"thầy giảng dạy nhiệt tình , truyền cảm .",2,Positive
"giảng dạy rất chi tiết , dễ hiểu và dễ tiếp thu .",2,Positive
truyền đạt những kiến thức tốt .,2,Positive
cô vui tính .,2,Positive
nếu có thì chỉ hướng dẫn bằng lý thuyết mà không làm bài tập mẫu cho sinh viên .,0,Negative
cô chưa có nhiều kênh bài tập cho sinh viên .,0,Negative
bạn nào khá thì có thể áp dụng công thức vào bài tập cả lớp chưa đến 30% còn thực sự hiểu môn học thì rất ít người hiểu .,0,Negative
thầy dạy hơi nhanh .,0,Negative
ít hướng dẫn sinh viên trong giờ thực hành .,0,Negative
không thực hành được buổi nào .,0,Negative
"thầy dạy phần lý thuyết hay , nắm bắt được khả năng của sinh viên .",2,Positive
"ví dụ đề tài của em là doubledot các nguyên lý cơ bản , bao gồm 7 nguyên tắc của bohm ( 1983 ) .",1,Neutral
"giáo viên nhiệt tình , dạy dễ hiểu , tận tình với sinh viên .",2,Positive
"tân tâm , nhiệt tình trong lớp lẫn bên ngoài .",2,Positive
thầy giảng dạy tận tâm nhiệt tình .,2,Positive
"thầy vui tính , giảng bài dễ hiểu , nhiệt tình .",2,Positive
thầy giáo dạy nhiệt tình .,2,Positive
"dạy dễ hiểu , gần gũi sinh viên .",2,Positive
"cô dạy rất nhiệt tình và tài liệu của cô rất cụ thể dễ hiểu , cô hướng dẫn rất tận tình .",2,Positive
mong thầy cố gắng trong các học kỳ sau .,0,Negative
cần đưa ra nhiều ví dụ minh họa hơn .,0,Negative
"giảng viên hoà đồng , vui vẻ , chỉ giảng tận tình sinh viên ham học hỏi .",2,Positive
giảng viên không dạy một tiết thực hành nào .,0,Negative
không !,1,Neutral
nên có sự thống nhất giữa các giảng viên bộ môn trong đề cương giảng dạy .,0,Negative
"có những phần kiến thức chỉ một nửa lớp được học nhưng giảng viên nghĩ là cả lớp đã học rồi nên chỉ overview , những sinh viên còn lại khó nắm được .",0,Negative
máy tính cập nhật nhanh hơn .,0,Negative
"vui , hòa đồng , nhiệt tình .",2,Positive
có giúp đỡ sinh viên học tập nghiên cứu .,2,Positive
"giảng viên tận tâm , nhiệt tình , ham học hỏi .",2,Positive
"tuy nhiên cô nên cân nhắc lại về số lượng yêu cầu đối với sinh viên để sinh viên không bị khớp vì quá nhiều dẫn đến làm qua loa cho có , như vậy thì kết quả lại không tốt .",0,Negative
"cô rất tận tâm , rất ok , em rất thích cách dạy và học của cô ( mặc dù hơi nhanh tí ) .",2,Positive
mong thầy và nhà trường xem xét lại những điều em vừa nói .,0,Negative
"thầy tận tâm , nhiệt tình , tạo động lực cho sinh viên .",2,Positive
"thầy giáo tận tình , dạy kỹ , thường đưa ra câu hỏi để xem xét mức độ hiểu biết của sinh viên .",2,Positive
cần tăng cương trao đổi giữa sinh viên và giáo viên .,0,Negative
nói chung là nghe không bao giờ nghe rõ được .,0,Negative
cách truyền đạt của giáo viên chưa có sức hút đối với sinh viên nhiều cho lắm .,0,Negative
"cô giáo thân thiện dễ gần , thực hành nhiều .",2,Positive
chưa tiếp thu trọn vẹn .,0,Negative
cần cải tiến trang thiết thực hành .,0,Negative
giảng kỹ hơn .,0,Negative
còn hơi kéo thời gian .,0,Negative
có nhiều bài tập về nhà cơ bản lẫn nâng cao và giảng viên sửa bài đủ .,2,Positive
thầy rất hiền và kiên trì giảng dạy cho lớp mặc dù môn học này đối với em không được hứng thú lắm .,0,Negative
đôi lúc giảng bài hơi nhanh .,0,Negative
có một số buổi không đi dạy .,0,Negative
thầy nhiệt tình và dạy dễ hiểu .,2,Positive
"có kiến thức nền tảng này , sinh viên có thể học thêm bất kỳ công nghệ cụ thể nào đó dễ dàng , cũng như tiếp thu thay đổi công nghệ mới nhanh chóng .",2,Positive
"cấu trúc đề cương của thầy chưa rõ ràng , lý thuyết chưa được trình bày rõ trong các buổi học .",0,Negative
tài liệu hỗ trợ toàn tiếng anh rất khó học .,0,Negative
chưa nhận được gì từ môn học này .,0,Negative
"giảng viên không hề giảng dạy , chỉ đưa đề cương rồi thôi .",0,Negative
bài tập mỗi tuần đều có và đầy đủ .,2,Positive
em xin cảm ơn .,2,Positive
thầy cần phải cho sinh viên biết được học môn này có tác dụng gì và làm được gì khi học xong .,0,Negative
đề nghị tăng thời gian thưc hành .,0,Negative
không được làm những chuyện riêng trong lúc dạy thực hành .,0,Negative
hỗ trợ thêm giáo trình không phải slide cho sinh viên .,0,Negative
cô wzjwz259 rất vui và nhiệt tình .,2,Positive
"giáo viện nhiệt tình , tận tâm .",2,Positive
"kiến thức được giảng viên trình bày rõ ràng , dễ hiểu cho sinh viên .",2,Positive
cần thêm nhiều kit để thực hành .,0,Negative
dạy khó hiểu quá nhanh .,0,Negative
"luôn gần gũi , tham khảo ý kiến sinh viên và thống nhất cũng sinh viên .",2,Positive
sắp xếp lịch học bù chưa hợp lý .,0,Negative
"nhà trường nên đưa môn học này vào thời khóa biểu bắt buộc ở học kỳ 1 của các sinh viên năm nhất nhằm giúp các em nắm biết được mình nên học gì , mình có nên chuyển đổi ngành hay không .",0,Negative
thời gian thực hành cần nhiều hơn .,0,Negative
giảng viên rất nhiệt tình trong giảng dạy .,2,Positive
slide chuẩn bị chưa tốt .,0,Negative
thầy hay đòi hỏi sinh viên những điều hơi quá cao .,0,Negative
cô giảng hướng dẫn nhiệt tình .,2,Positive
"chúng em đã gặp khó khắn với khổ giấy nhỏ , mô hình thì lớn và phức tạp .",0,Negative
giảng quá nhiều không đánh vào trọng tâm .,0,Negative
"em không muốn nói gì nhưng mong thầy xem lại cách đánh giá sinh viên để công bằng hơn , cái sinh viên không biết không phải chỉ ở cúp tiết mà còn ở cách giảng dạy , truyền đạt ở giảng viên , ví dụ như cô wzjwz324 , rất dễ hiểu , tận tâm .",0,Negative
cô có nhiều hình thức giảng dạy hay .,2,Positive
hơi khó .,0,Negative
thầy đi trễ .,0,Negative
giảng tốt .,2,Positive
nói mở rộng nhiều vấn đề về môn học .,2,Positive
cần tăng cường nội dung nghe và nói để sinh viên giao tiếp tốt hơn bằng tiếng anh .,0,Negative
giảng viên tạo điều kiện làm nhiều bài tập .,0,Negative
hỗ trợ thêm về các thiết bị dạy và học .,0,Negative
ít giải bài tập trên lớp .,0,Negative
chia sẻ .,1,Neutral
bám sát nội dung chính .,2,Positive
cần thêm các đoạn code cho các giải thuật bổ sung các phương pháp để giải quyết các bài toán liệt kê .,0,Negative
thông tin đầy đủ về bài tập và các nguồn tham khảo .,2,Positive
"cô tận tâm , nhiệt tình , phương pháp dạy dễ hiểu .",2,Positive
"thầy giảng rất dễ hiểu và thú vị , thu hút .",2,Positive
hướng dẫn chi tiết về cách thực hành .,2,Positive
"giảng viên chỉ cho đồ án và giải đáp các yêu cầu đồ án , không cung cấp tài liệu hay hướng dẫn cơ bản , sinh viên tự tìm hiểu với lý do là hệ tài năng nên cần tự xoay sở .",0,Negative
"môn học toàn kiến thức mới mẻ , giảng viên nên giảng chi tiết hơn .",0,Negative
"đến khi cuối kỳ , chỉ cần sinh viên mắc một sai sót nhỏ thì sẽ rớt môn .",0,Negative
"cần thay đổi cách dạy và nội dung học của phần thực hành , các bài thực hành hiện tại của môn mạng máy tính chưa đảm bảo hiệu quả .",0,Negative
"thầy dạy hay , tận tình góp ý từng bài .",2,Positive
"cơ sở vật chất , phỏng máy không đủ phích cắm cho dụng cụ thực hành và số lượng sinh viên , máy còn tiềm ẩn nhiều virus .",0,Negative
"trên lớp lý thuyết giảng viên yêu cầu sinh viên phải thực hiện đồ án theo những gì mình hướng dẫn , những nhóm sinh viên bổ sung thêm những liên hệ thực tiễn đều bị cho là sai , không phù hợp với đồ án .",0,Negative
thầy giảng bài hay và hiệu quả !,2,Positive
giảng viên nhiệt tình vui vẻ .,2,Positive
phòng học nên có rèm che sáng để khi chiếu slide được nhìn rõ hơn .,0,Negative
"chương trình dạy lý thuyết và thực hành nên khớp với nhau hơn , tránh tình trạng thực hành trước khi học lý thuyết .",0,Negative
"thầy giảng dạy nhiệt tình , dễ hiểu .",2,Positive
mong giảng viên ngày càng chấn chỉnh việc dạy học để các khoá sau được hiểu tốt hơn .,0,Negative
"thầy dạy rất có tâm , và giảng cho sinh viên rất nhiều thứ !",2,Positive
"nội dung khảo sat quá dài , nhiều mục lặp đi lặp lại , nhiều bạn khảo sát mà không cần đọc , toàn tích chàn .",0,Negative
dạy tốt và rất nhiệt tình chỉ dạy hoc sinh .,2,Positive
"nhiệt tình , tân tâm .",2,Positive
"nhưng học mới thấy kiến thức thầy dạy rất hay , bám sát thực tế , thầy dạy rất nhiệt tình , vui vẻ , khác với mọi người nói .",2,Positive
bài tập rất hay .,2,Positive
thầy cô cần cho nhiều dạng bài tập sát với đề thi hơn .,0,Negative
"thầy giảng hay nhưng nên tự tin hơn , nói to hơn để học sinh hiểu bài một cách rõ ràng hơn .",2,Positive
"mong thầy vui tính , gần gũi với sinh viên hơn .",2,Positive
"giáo viên vui tính , hòa đồng , nhiệt tình .",2,Positive
cung cấp kiến thức trọng tâm .,2,Positive
cố gắng truyền đạt một cách tốt nhất để sinh viên được hiểu .,2,Positive
giọng của giảng viên nhỏ dù đã sử dụng micro .,0,Negative
"dù phương pháp học tập này khá hiệu quả nhưng vẫn có chút nào đó nghi ngờ từ phần thuyết trình của các bạn , liệu các kiến thức đó có chuẩn xác và cập nhật chưa .",1,Neutral
giáo viên có phong cách giảng dạy nghiêm túc .,2,Positive
"cô rất vui tính nà , không khí lớp lúc nào cũng vui hết , cô dạy rất hay , dễ hiểu !",2,Positive
"giảng viên giảng dạy rất tốt , thường xuyên cung cấp thêm nhiều kiến thức .",2,Positive
"thầy luôn nhiệt tình , có những chia sẻ rất gần gũi với sinh viên .",2,Positive
có khả năng truyền đạt tốt .,2,Positive
thậm chí còn không có bài nào khó bằng các bài trong nội dung của lớp chuyên tin ở các trường cấp 3 .,0,Negative
thầy dạy tận tụy và tâm huyết .,2,Positive
thầy nên có cách dạy mới cho môn học này để được kết quả tốt cho tất cả mọi người thay vì để rớt rất nhiều người !,0,Negative
lịch thi thực hành cần được thông báo sớm tới sinh viên và phù hợp với thời gian môn học .,0,Negative
cô nên giảng kỹ và chi tiết từng bài vì nhiều bài đa số các bạn chưa hiểu thì cô lại giảng nhanh để chuyển qua bài khác .,0,Negative
dạy tốt đúng trọng tâm những gì cần biết .,2,Positive
"nhiệt tình , lên lớp đúng giờ , dạy dễ hiểu .",2,Positive
"nếu em buồn ngủ , dù lên lớp em vẫn sẽ ngủ , mà ngủ ở trên lớp thì đau lưng và tê chân lắm .",0,Negative
cơ mà em học môn này em hiểu colonlove .,2,Positive
thiếu kinh nghiệm truyền đạt .,0,Negative
bài giảng thú vị .,2,Positive
em nghĩ nội dung thực hành nên gần với đồ án hơn .,0,Negative
thầy nhiệt huyết và giảng bao quát đề cập đến nhiều khía cạnh của bài học vấn đề .,2,Positive
giảng viên giảng bài kỹ .,2,Positive
"hệ thống đồ án chấm điểm theo mức độ hoàn thành của sinh viên , tạo sự ganh đua không hề nhẹ với những nhóm làm chung đồ án , kích thích sáng tạo không ngừng tìm hiểu xây dựng thêm chức năng mới cho đồ án nếu muốn được điểm cao .",2,Positive
"nhiệt tình , tâm huyết .",2,Positive
ít chú trọng phần ngữ pháp .,0,Negative
"giảng viên còn chưa tận tâm , phong cách giảng dạy chưa thu hút được sinh viên .",0,Negative
"giảng rất dễ hiểu , hướng dẫn làm thực hành tốt .",2,Positive
"thầy dạy rất nhiệt tình , khi dạy thầy luôn đi tới từng sinh viên để hướng dẫn .",2,Positive
giảng viên nhiệt tình trong giảng dạy và chấm điểm .,2,Positive
"cách truyền đạt kiến thức đối với em là rất hiệu quả , trao đổi bài với sinh viên , cô rất nhiệt tình !",2,Positive
"giảng dạy hay , dễ hiểu , tận tình .",2,Positive
"kiến thức rộng , kinh nghiệm thực tế nhiều , truyền cảm hứng cho sinh viên .",2,Positive
cách dạy sáng tạo .,2,Positive
giảng bài dễ tiếp thu .,2,Positive
em rất hài lòng với cô .,2,Positive
"thầy dạy dễ hiểu , sinh động .",2,Positive
cô chưa nắm bắt được thực trạng học của sinh viên .,0,Negative
ảnh hưởng đến tiến độ học tập và quỹ thời gian của sinh viên ( do học bù ) .,0,Negative
cô giảng bài dễ hiểu .,2,Positive
điều em hài lòng nhất đó là thầy đi rất đúng giờ và không dạy quá nhanh .,2,Positive
nên có giáo trình thống nhất cho tất cả các lớp và học kỳ học .,0,Negative
em nghĩ cần có các bài tập lớn để nâng cao khả năng lập trình của các sinh viên .,0,Negative
rất nhiệt tình với sinh viên .,2,Positive
"giảng viên có phương pháp giảng dạy hay , cập nhật , phù hợp với sinh viên .",2,Positive
giảng dạy tốt và có tâm .,2,Positive
dạy lý thuyết hơi nhiều .,0,Negative
giảng viên chấm bài quy chụp theo kết quả .,1,Neutral
"thời lượng môn học quá dài , sinh viên cảm thấy mệt mỏi .",0,Negative
giảng viên vui tính dễ tương tác với sinh viên .,2,Positive
"nhiệt tình hay giúp đỡ sinh viên khi không biết , cho nhiều bài tập .",2,Positive
"thầy cho điểm phần nào còn theo cảm tính , chưa được công bằng .",0,Negative
thầy giảng dạy rất nhiệt tình .,2,Positive
"thầy nhiệt tình , bài giảng phong phú đa dạng .",2,Positive
không có gì đặc biệt .,1,Neutral
"mỗi tháng chỉ gặp giảng viên một lần rất khó cho việc học hỏi , hướng dẫn từ giáo viên .",0,Negative
